"response_uuid","child_hashed_id","frame_id","event_number","key","value"
"e58baabd-8ebc-4756-aae2-b5f9ed04e89f","WJEBN2","0-preload","","success",True
"e58baabd-8ebc-4756-aae2-b5f9ed04e89f","WJEBN2","0-preload","","timeout",False
"e58baabd-8ebc-4756-aae2-b5f9ed04e89f","WJEBN2","0-preload","","trial_type","preload"
"e58baabd-8ebc-4756-aae2-b5f9ed04e89f","WJEBN2","0-preload","","trial_index",0
"e58baabd-8ebc-4756-aae2-b5f9ed04e89f","WJEBN2","0-preload","","time_elapsed",78
"e58baabd-8ebc-4756-aae2-b5f9ed04e89f","WJEBN2","0-preload","","plugin_version","2.0.0"
"e58baabd-8ebc-4756-aae2-b5f9ed04e89f","WJEBN2","1-preload","","success",True
"e58baabd-8ebc-4756-aae2-b5f9ed04e89f","WJEBN2","1-preload","","timeout",False
"e58baabd-8ebc-4756-aae2-b5f9ed04e89f","WJEBN2","1-preload","","trial_type","preload"
"e58baabd-8ebc-4756-aae2-b5f9ed04e89f","WJEBN2","1-preload","","trial_index",1
"e58baabd-8ebc-4756-aae2-b5f9ed04e89f","WJEBN2","1-preload","","time_elapsed",1587
"e58baabd-8ebc-4756-aae2-b5f9ed04e89f","WJEBN2","1-preload","","plugin_version","2.0.0"
"e58baabd-8ebc-4756-aae2-b5f9ed04e89f","WJEBN2","2-preload","","success",True
"e58baabd-8ebc-4756-aae2-b5f9ed04e89f","WJEBN2","2-preload","","timeout",False
"e58baabd-8ebc-4756-aae2-b5f9ed04e89f","WJEBN2","2-preload","","trial_type","preload"
"e58baabd-8ebc-4756-aae2-b5f9ed04e89f","WJEBN2","2-preload","","trial_index",2
"e58baabd-8ebc-4756-aae2-b5f9ed04e89f","WJEBN2","2-preload","","time_elapsed",4581
"e58baabd-8ebc-4756-aae2-b5f9ed04e89f","WJEBN2","2-preload","","plugin_version","2.0.0"
"e58baabd-8ebc-4756-aae2-b5f9ed04e89f","WJEBN2","3-html-button-response","","rt",1494
"e58baabd-8ebc-4756-aae2-b5f9ed04e89f","WJEBN2","3-html-button-response","","response",0
"e58baabd-8ebc-4756-aae2-b5f9ed04e89f","WJEBN2","3-html-button-response","","stimulus","Welcome! Press ""next"" to continue."
"e58baabd-8ebc-4756-aae2-b5f9ed04e89f","WJEBN2","3-html-button-response","","trial_type","html-button-response"
"e58baabd-8ebc-4756-aae2-b5f9ed04e89f","WJEBN2","3-html-button-response","","trial_index",3
"e58baabd-8ebc-4756-aae2-b5f9ed04e89f","WJEBN2","3-html-button-response","","time_elapsed",6078
"e58baabd-8ebc-4756-aae2-b5f9ed04e89f","WJEBN2","3-html-button-response","","plugin_version","2.0.0"
"e58baabd-8ebc-4756-aae2-b5f9ed04e89f","WJEBN2","4-video-config-plugin","","rt",11000
"e58baabd-8ebc-4756-aae2-b5f9ed04e89f","WJEBN2","4-video-config-plugin","","camId","261b3202256a5bd9da87a49c2bb96b48171af77df89dadfaa5a9962b75826902"
"e58baabd-8ebc-4756-aae2-b5f9ed04e89f","WJEBN2","4-video-config-plugin","","micId","db1536fefcd52be4bacf41f2e533e33acc8861e1b6d435a2f2b3e60fb033967d"
"e58baabd-8ebc-4756-aae2-b5f9ed04e89f","WJEBN2","4-video-config-plugin","","trial_type","video-config-plugin"
"e58baabd-8ebc-4756-aae2-b5f9ed04e89f","WJEBN2","4-video-config-plugin","","trial_index",4
"e58baabd-8ebc-4756-aae2-b5f9ed04e89f","WJEBN2","4-video-config-plugin","","time_elapsed",17112
"e58baabd-8ebc-4756-aae2-b5f9ed04e89f","WJEBN2","4-video-config-plugin","","plugin_version","3.0.1"
"e58baabd-8ebc-4756-aae2-b5f9ed04e89f","WJEBN2","5-consent-video","","chs_type","consent"
"e58baabd-8ebc-4756-aae2-b5f9ed04e89f","WJEBN2","5-consent-video","","trial_type","consent-video"
"e58baabd-8ebc-4756-aae2-b5f9ed04e89f","WJEBN2","5-consent-video","","trial_index",5
"e58baabd-8ebc-4756-aae2-b5f9ed04e89f","WJEBN2","5-consent-video","","time_elapsed",30190
"e58baabd-8ebc-4756-aae2-b5f9ed04e89f","WJEBN2","5-consent-video","","plugin_version","3.0.1"
"e58baabd-8ebc-4756-aae2-b5f9ed04e89f","WJEBN2","7-html-keyboard-response","","rt",2154
