"response__id","response__uuid","response__date_created","response__completed","response__withdrawn","response__eligibility","response__parent_feedback","response__birthdate_difference","response__video_privacy","response__databrary","response__is_preview","consent__ruling","consent__arbiter","consent__time","consent__comment","study__uuid","participant__hashed_id","child__hashed_id","child__age_rounded","child__gender","child__age_at_birth","child__language_list","child__condition_list","child__additional_information","response__sequence","response__conditions","response__researcher_payment_status","response__eligibility.0","response__researcher_session_status","response__researcher_star","response__sequence.0","response__sequence.1","response__sequence.10","response__sequence.11","response__sequence.12","response__sequence.13","response__sequence.14","response__sequence.15","response__sequence.16","response__sequence.17","response__sequence.18","response__sequence.19","response__sequence.2","response__sequence.20","response__sequence.21","response__sequence.22","response__sequence.23","response__sequence.24","response__sequence.25","response__sequence.26","response__sequence.27","response__sequence.28","response__sequence.29","response__sequence.3","response__sequence.30","response__sequence.31","response__sequence.32","response__sequence.33","response__sequence.34","response__sequence.35","response__sequence.36","response__sequence.37","response__sequence.38","response__sequence.39","response__sequence.4","response__sequence.40","response__sequence.41","response__sequence.5","response__sequence.6","response__sequence.7","response__sequence.8","response__sequence.9"
"374423","bdf55dae-f753-4c5d-b527-72085e45a65d","2025-11-07 20:12:18.551308+00:00",False,False,"","none",0,"private","yes",False,"accepted","Rondeline  Williams","2025-11-10 15:55","","1d7d6bd1-7996-4586-8af7-d2ad4201640a","HdYBCS","7SCBdd","2610","m","Not sure or prefer not to answer","en","","","","","","Eligible","",False,"0-preload","1-preload","10-html-button-response","11-html-button-response","12-html-button-response","13-html-keyboard-response","14-html-button-response","15-html-button-response","16-html-button-response","17-html-button-response","18-html-button-response","19-html-button-response","2-preload","20-html-button-response","21-html-button-response","22-html-button-response","23-html-button-response","24-html-button-response","25-html-button-response","26-html-button-response","27-html-button-response","28-html-button-response","29-html-button-response","3-html-button-response","30-html-button-response","31-html-button-response","32-html-button-response","33-html-button-response","34-html-button-response","35-html-button-response","36-html-button-response","37-stop-record-plugin","38-html-button-response","39-survey","4-video-config-plugin","40-survey","41-survey","5-consent-video","6-survey","7-start-record-plugin","8-html-button-response","9-html-keyboard-response"
"374463","7ed36fd2-36d9-4a2f-bcc9-cf7dd0807b93","2025-11-07 21:17:27.079665+00:00",True,False,"","Great! ",0,"scientific","yes",False,"accepted","Rondeline  Williams","2025-11-10 15:55","","1d7d6bd1-7996-4586-8af7-d2ad4201640a","HNWPSN","T2UAMW","1980","m","37 weeks","en","","","","","","Eligible","",False,"0-preload","1-preload","10-html-button-response","11-html-button-response","12-html-keyboard-response","13-html-button-response","14-html-button-response","15-html-button-response","16-html-button-response","17-html-button-response","18-html-button-response","19-html-button-response","2-preload","20-html-button-response","21-html-button-response","22-html-button-response","23-html-button-response","24-html-button-response","25-html-button-response","26-html-button-response","27-html-button-response","28-html-button-response","29-html-button-response","3-html-button-response","30-html-button-response","31-html-button-response","32-html-button-response","33-html-button-response","34-html-button-response","35-html-button-response","36-stop-record-plugin","37-html-button-response","38-survey","39-survey","4-video-config-plugin","40-survey","","5-consent-video","6-survey","7-start-record-plugin","8-html-keyboard-response","9-html-button-response"
"374508","29141592-3476-4c2e-bf36-fbafcb635a22","2025-11-07 23:03:59.384522+00:00",True,False,"","",0,"private","no",False,"accepted","Rondeline  Williams","2025-11-10 15:55","","1d7d6bd1-7996-4586-8af7-d2ad4201640a","3BP5G4","FSNHNZ","2070","f","40 or more weeks","en ig km","","","","","","Eligible","",False,"0-preload","1-preload","10-html-button-response","11-html-button-response","12-html-button-response","13-html-keyboard-response","14-html-button-response","15-html-button-response","16-html-button-response","17-html-button-response","18-html-button-response","19-html-button-response","2-preload","20-html-button-response","21-html-button-response","22-html-button-response","23-html-button-response","24-html-button-response","25-html-button-response","26-html-button-response","27-html-button-response","28-html-button-response","29-html-button-response","3-html-button-response","30-html-button-response","31-html-button-response","32-html-button-response","33-html-button-response","34-html-button-response","35-html-button-response","36-html-button-response","37-stop-record-plugin","38-html-button-response","39-survey","4-video-config-plugin","40-survey","41-survey","5-consent-video","6-survey","7-start-record-plugin","8-html-button-response","9-html-keyboard-response"
"374529","3fb3d4f2-acfc-41dc-8717-d3b7128cbf52","2025-11-07 23:33:45.766642+00:00",False,False,"","",0,"scientific","yes",False,"accepted","Rondeline  Williams","2025-11-10 15:55","","1d7d6bd1-7996-4586-8af7-d2ad4201640a","UURSBM","HJNHJJ","2610","m","37 weeks","en","multiple_birth","","","","","Eligible","",False,"0-preload","1-preload","10-html-button-response","11-html-button-response","12-html-keyboard-response","13-html-button-response","14-html-button-response","15-html-button-response","16-html-button-response","17-html-button-response","18-html-button-response","19-html-button-response","2-preload","20-html-button-response","21-html-button-response","22-html-button-response","23-html-button-response","24-html-button-response","25-html-button-response","26-html-button-response","27-html-button-response","28-html-button-response","29-html-button-response","3-html-button-response","30-html-button-response","31-html-button-response","32-html-button-response","33-html-button-response","34-html-button-response","35-html-button-response","36-stop-record-plugin","37-html-button-response","38-survey","39-survey","4-video-config-plugin","40-survey","","5-consent-video","6-survey","7-start-record-plugin","8-html-keyboard-response","9-html-button-response"
"374531","00718829-4a2b-4937-9070-0d3b9689fbfe","2025-11-07 23:38:13.792312+00:00",True,False,"","",-1,"private","yes",False,"accepted","Rondeline  Williams","2025-11-10 15:55","","1d7d6bd1-7996-4586-8af7-d2ad4201640a","P7E6MG","SE6YT2","2670","m","39 weeks","en","","","","","","Eligible","",False,"0-preload","1-preload","10-html-button-response","11-html-button-response","12-html-button-response","13-html-keyboard-response","14-html-button-response","15-html-button-response","16-html-button-response","17-html-button-response","18-html-button-response","19-html-button-response","2-preload","20-html-button-response","21-html-button-response","22-html-button-response","23-html-button-response","24-html-button-response","25-html-button-response","26-html-button-response","27-html-button-response","28-html-button-response","29-html-button-response","3-html-button-response","30-html-button-response","31-html-button-response","32-html-button-response","33-html-button-response","34-html-button-response","35-html-button-response","36-html-button-response","37-stop-record-plugin","38-html-button-response","39-survey","4-video-config-plugin","40-survey","41-survey","5-consent-video","6-survey","7-start-record-plugin","8-html-button-response","9-html-keyboard-response"
"374532","80835e2b-3a1b-475e-bc3d-13e82901df9a","2025-11-07 23:39:31.225420+00:00",True,False,"","",0,"scientific","yes",False,"accepted","Rondeline  Williams","2025-11-10 15:55","","1d7d6bd1-7996-4586-8af7-d2ad4201640a","UURSBM","A3F7EU","2610","m","37 weeks","en","multiple_birth","","","","","Eligible","",False,"0-preload","1-preload","10-html-button-response","11-html-button-response","12-html-keyboard-response","13-html-button-response","14-html-button-response","15-html-button-response","16-html-button-response","17-html-button-response","18-html-button-response","19-html-button-response","2-preload","20-html-button-response","21-html-button-response","22-html-button-response","23-html-button-response","24-html-button-response","25-html-button-response","26-html-button-response","27-html-button-response","28-html-button-response","29-html-button-response","3-html-button-response","30-html-button-response","31-html-button-response","32-html-button-response","33-html-button-response","34-html-button-response","35-html-button-response","36-stop-record-plugin","37-html-button-response","38-survey","39-survey","4-video-config-plugin","40-survey","","5-consent-video","6-survey","7-start-record-plugin","8-html-keyboard-response","9-html-button-response"
"374539","62023cfb-7afb-48b7-b303-4f4999ac35b9","2025-11-08 00:08:52.167373+00:00",True,False,"","",0,"private","yes",False,"accepted","Rondeline  Williams","2025-11-10 15:55","","1d7d6bd1-7996-4586-8af7-d2ad4201640a","LZXPdH","N6X7N3","2430","f","40 or more weeks","en","autism_spectrum_disorder","","","","","Eligible","",False,"0-preload","1-preload","10-html-button-response","11-html-button-response","12-html-button-response","13-html-keyboard-response","14-html-button-response","15-html-button-response","16-html-button-response","17-html-button-response","18-html-button-response","19-html-button-response","2-preload","20-html-button-response","21-html-button-response","22-html-button-response","23-html-button-response","24-html-button-response","25-html-button-response","26-html-button-response","27-html-button-response","28-html-button-response","29-html-button-response","3-html-button-response","30-html-button-response","31-html-button-response","32-html-button-response","33-html-button-response","34-html-button-response","35-html-button-response","36-html-button-response","37-stop-record-plugin","38-html-button-response","39-survey","4-video-config-plugin","40-survey","41-survey","5-consent-video","6-survey","7-start-record-plugin","8-html-button-response","9-html-keyboard-response"
"374543","f0bc3eb3-4af2-4975-97d9-c4abaa6f4107","2025-11-08 00:35:07.415179+00:00",True,False,"","",0,"public","yes",False,"accepted","Rondeline  Williams","2025-11-10 15:55","","1d7d6bd1-7996-4586-8af7-d2ad4201640a","PWHKXB","RLL44c","2010","f","38 weeks","en fr","","","","","","Eligible","",False,"0-preload","1-preload","10-html-button-response","11-html-button-response","12-html-keyboard-response","13-html-button-response","14-html-button-response","15-html-button-response","16-html-button-response","17-html-button-response","18-html-button-response","19-html-button-response","2-preload","20-html-button-response","21-html-button-response","22-html-button-response","23-html-button-response","24-html-button-response","25-html-button-response","26-html-button-response","27-html-button-response","28-html-button-response","29-html-button-response","3-html-button-response","30-html-button-response","31-html-button-response","32-html-button-response","33-html-button-response","34-html-button-response","35-html-button-response","36-stop-record-plugin","37-html-button-response","38-survey","39-survey","4-video-config-plugin","40-survey","","5-consent-video","6-survey","7-start-record-plugin","8-html-keyboard-response","9-html-button-response"
"374544","15380948-f7df-40b1-b3eb-6ea3fa06d4cd","2025-11-08 00:40:00.978972+00:00",True,False,"","",0,"private","no",False,"accepted","Rondeline  Williams","2025-11-10 15:55","","1d7d6bd1-7996-4586-8af7-d2ad4201640a","P27VQ3","Y5ZYPZ","1860","f","40 or more weeks","en","","","","","","Eligible","",False,"0-preload","1-preload","10-html-button-response","11-html-button-response","12-html-button-response","13-html-keyboard-response","14-html-button-response","15-html-button-response","16-html-button-response","17-html-button-response","18-html-button-response","19-html-button-response","2-preload","20-html-button-response","21-html-button-response","22-html-button-response","23-html-button-response","24-html-button-response","25-html-button-response","26-html-button-response","27-html-button-response","28-html-button-response","29-html-button-response","3-html-button-response","30-html-button-response","31-html-button-response","32-html-button-response","33-html-button-response","34-html-button-response","35-html-button-response","36-html-button-response","37-stop-record-plugin","38-html-button-response","39-survey","4-video-config-plugin","40-survey","41-survey","5-consent-video","6-survey","7-start-record-plugin","8-html-button-response","9-html-keyboard-response"
"374551","983f9aba-8f1c-4638-babd-97ce87dd7630","2025-11-08 00:56:42.827975+00:00",True,False,"","I hope she did everything ok.",0,"public","yes",False,"accepted","Rondeline  Williams","2025-11-10 15:55","","1d7d6bd1-7996-4586-8af7-d2ad4201640a","SNFLPS","REFFFZ","2460","f","33 weeks","en","","","","","","Eligible","",False,"0-preload","1-preload","10-html-button-response","11-html-button-response","12-html-button-response","13-html-keyboard-response","14-html-button-response","15-html-button-response","16-html-button-response","17-html-button-response","18-html-button-response","19-html-button-response","2-preload","20-html-button-response","21-html-button-response","22-html-button-response","23-html-button-response","24-html-button-response","25-html-button-response","26-html-button-response","27-html-button-response","28-html-button-response","29-html-button-response","3-html-button-response","30-html-button-response","31-html-button-response","32-html-button-response","33-html-button-response","34-html-button-response","35-html-button-response","36-html-button-response","37-stop-record-plugin","38-html-button-response","39-survey","4-video-config-plugin","40-survey","41-survey","5-consent-video","6-survey","7-start-record-plugin","8-html-button-response","9-html-keyboard-response"
