"response_uuid","child_hashed_id","frame_id","event_number","key","value"
"1f28f21b-48a8-4638-b7a9-27a7c3d01271","dYHXHc","0-preload","","success",True
"1f28f21b-48a8-4638-b7a9-27a7c3d01271","dYHXHc","0-preload","","timeout",False
"1f28f21b-48a8-4638-b7a9-27a7c3d01271","dYHXHc","0-preload","","trial_type","preload"
"1f28f21b-48a8-4638-b7a9-27a7c3d01271","dYHXHc","0-preload","","trial_index",0
"1f28f21b-48a8-4638-b7a9-27a7c3d01271","dYHXHc","0-preload","","time_elapsed",320
"1f28f21b-48a8-4638-b7a9-27a7c3d01271","dYHXHc","0-preload","","plugin_version","2.0.0"
"1f28f21b-48a8-4638-b7a9-27a7c3d01271","dYHXHc","1-preload","","success",True
"1f28f21b-48a8-4638-b7a9-27a7c3d01271","dYHXHc","1-preload","","timeout",False
"1f28f21b-48a8-4638-b7a9-27a7c3d01271","dYHXHc","1-preload","","trial_type","preload"
"1f28f21b-48a8-4638-b7a9-27a7c3d01271","dYHXHc","1-preload","","trial_index",1
"1f28f21b-48a8-4638-b7a9-27a7c3d01271","dYHXHc","1-preload","","time_elapsed",2531
"1f28f21b-48a8-4638-b7a9-27a7c3d01271","dYHXHc","1-preload","","plugin_version","2.0.0"
"1f28f21b-48a8-4638-b7a9-27a7c3d01271","dYHXHc","2-preload","","success",True
"1f28f21b-48a8-4638-b7a9-27a7c3d01271","dYHXHc","2-preload","","timeout",False
"1f28f21b-48a8-4638-b7a9-27a7c3d01271","dYHXHc","2-preload","","trial_type","preload"
"1f28f21b-48a8-4638-b7a9-27a7c3d01271","dYHXHc","2-preload","","trial_index",2
"1f28f21b-48a8-4638-b7a9-27a7c3d01271","dYHXHc","2-preload","","time_elapsed",3906
"1f28f21b-48a8-4638-b7a9-27a7c3d01271","dYHXHc","2-preload","","plugin_version","2.0.0"
"1f28f21b-48a8-4638-b7a9-27a7c3d01271","dYHXHc","3-html-button-response","","rt",1202
"1f28f21b-48a8-4638-b7a9-27a7c3d01271","dYHXHc","3-html-button-response","","response",0
"1f28f21b-48a8-4638-b7a9-27a7c3d01271","dYHXHc","3-html-button-response","","stimulus","Welcome! Press ""next"" to continue."
"1f28f21b-48a8-4638-b7a9-27a7c3d01271","dYHXHc","3-html-button-response","","trial_type","html-button-response"
