"response_uuid","child_hashed_id","frame_id","event_number","key","value"
"29141592-3476-4c2e-bf36-fbafcb635a22","FSNHNZ","0-preload","","success",True
"29141592-3476-4c2e-bf36-fbafcb635a22","FSNHNZ","0-preload","","timeout",False
"29141592-3476-4c2e-bf36-fbafcb635a22","FSNHNZ","0-preload","","trial_type","preload"
"29141592-3476-4c2e-bf36-fbafcb635a22","FSNHNZ","0-preload","","trial_index",0
"29141592-3476-4c2e-bf36-fbafcb635a22","FSNHNZ","0-preload","","time_elapsed",259
"29141592-3476-4c2e-bf36-fbafcb635a22","FSNHNZ","0-preload","","plugin_version","2.0.0"
"29141592-3476-4c2e-bf36-fbafcb635a22","FSNHNZ","1-preload","","success",True
"29141592-3476-4c2e-bf36-fbafcb635a22","FSNHNZ","1-preload","","timeout",False
"29141592-3476-4c2e-bf36-fbafcb635a22","FSNHNZ","1-preload","","trial_type","preload"
"29141592-3476-4c2e-bf36-fbafcb635a22","FSNHNZ","1-preload","","trial_index",1
"29141592-3476-4c2e-bf36-fbafcb635a22","FSNHNZ","1-preload","","time_elapsed",1460
"29141592-3476-4c2e-bf36-fbafcb635a22","FSNHNZ","1-preload","","plugin_version","2.0.0"
"29141592-3476-4c2e-bf36-fbafcb635a22","FSNHNZ","2-preload","","success",True
"29141592-3476-4c2e-bf36-fbafcb635a22","FSNHNZ","2-preload","","timeout",False
"29141592-3476-4c2e-bf36-fbafcb635a22","FSNHNZ","2-preload","","trial_type","preload"
"29141592-3476-4c2e-bf36-fbafcb635a22","FSNHNZ","2-preload","","trial_index",2
"29141592-3476-4c2e-bf36-fbafcb635a22","FSNHNZ","2-preload","","time_elapsed",1846
"29141592-3476-4c2e-bf36-fbafcb635a22","FSNHNZ","2-preload","","plugin_version","2.0.0"
"29141592-3476-4c2e-bf36-fbafcb635a22","FSNHNZ","3-html-button-response","","rt",1858
"29141592-3476-4c2e-bf36-fbafcb635a22","FSNHNZ","3-html-button-response","","response",0
"29141592-3476-4c2e-bf36-fbafcb635a22","FSNHNZ","3-html-button-response","","stimulus","Welcome! Press ""next"" to continue."
"29141592-3476-4c2e-bf36-fbafcb635a22","FSNHNZ","3-html-button-response","","trial_type","html-button-response"
"29141592-3476-4c2e-bf36-fbafcb635a22","FSNHNZ","3-html-button-response","","trial_index",3
"29141592-3476-4c2e-bf36-fbafcb635a22","FSNHNZ","3-html-button-response","","time_elapsed",3707
"29141592-3476-4c2e-bf36-fbafcb635a22","FSNHNZ","3-html-button-response","","plugin_version","2.0.0"
"29141592-3476-4c2e-bf36-fbafcb635a22","FSNHNZ","4-video-config-plugin","","rt",33663
"29141592-3476-4c2e-bf36-fbafcb635a22","FSNHNZ","4-video-config-plugin","","camId","B2EFGGmO73izhXDv55bOjQR2INUS4JebFsm7Bfsp8Rc="
"29141592-3476-4c2e-bf36-fbafcb635a22","FSNHNZ","4-video-config-plugin","","micId","71IouhDOwbegFZ5Mk/LXsNC+WT9P4Cs3IT9rhbuirI0="
"29141592-3476-4c2e-bf36-fbafcb635a22","FSNHNZ","4-video-config-plugin","","trial_type","video-config-plugin"
"29141592-3476-4c2e-bf36-fbafcb635a22","FSNHNZ","4-video-config-plugin","","trial_index",4
"29141592-3476-4c2e-bf36-fbafcb635a22","FSNHNZ","4-video-config-plugin","","time_elapsed",37408
"29141592-3476-4c2e-bf36-fbafcb635a22","FSNHNZ","4-video-config-plugin","","plugin_version","4.0.0"
"29141592-3476-4c2e-bf36-fbafcb635a22","FSNHNZ","5-consent-video","","chs_type","consent"
"29141592-3476-4c2e-bf36-fbafcb635a22","FSNHNZ","5-consent-video","","trial_type","consent-video"
"29141592-3476-4c2e-bf36-fbafcb635a22","FSNHNZ","5-consent-video","","trial_index",5
"29141592-3476-4c2e-bf36-fbafcb635a22","FSNHNZ","5-consent-video","","time_elapsed",65672
"29141592-3476-4c2e-bf36-fbafcb635a22","FSNHNZ","5-consent-video","","plugin_version","4.0.0"
"29141592-3476-4c2e-bf36-fbafcb635a22","FSNHNZ","6-survey","","rt",33977
